gene_id	gene_symbol	biotype
FBgn0000473	Cyp6a2	protein_coding_gene
FBgn0000477	DNaseII	protein_coding_gene
FBgn0000479	dnc	protein_coding_gene
FBgn0000482	dor	protein_coding_gene
FBgn0000489	Pka-C3	protein_coding_gene
FBgn0000490	dpp	protein_coding_gene
FBgn0000492	Dr	protein_coding_gene
FBgn0000499	dsh	protein_coding_gene
FBgn0000500	Dsk	protein_coding_gene
FBgn0000504	dsx	protein_coding_gene
FBgn0000520	dwg	protein_coding_gene
FBgn0000524	dx	protein_coding_gene
FBgn0000527	e	protein_coding_gene
FBgn0000529	bsh	protein_coding_gene
FBgn0000533	ea	protein_coding_gene
FBgn0000535	eag	protein_coding_gene
FBgn0000536	eas	protein_coding_gene
FBgn0000541	E(bx)	protein_coding_gene
FBgn0000542	ec	protein_coding_gene
FBgn0000543	ecd	protein_coding_gene
FBgn0000546	EcR	protein_coding_gene
FBgn0000547	ed	protein_coding_gene
FBgn0000551	Edg78E	protein_coding_gene
FBgn0000552	Edg84A	protein_coding_gene
FBgn0000557	eEF1alpha2	protein_coding_gene
FBgn0000559	eEF2	protein_coding_gene
FBgn0000560	eg	protein_coding_gene
FBgn0000562	egl	protein_coding_gene
FBgn0000564	Eh	protein_coding_gene
FBgn0000565	MsrA	protein_coding_gene
FBgn0000566	Cth	protein_coding_gene
FBgn0000567	Eip74EF	protein_coding_gene
FBgn0000568	Eip75B	protein_coding_gene
FBgn0000575	emc	protein_coding_gene
FBgn0000576	ems	protein_coding_gene
FBgn0000577	en	protein_coding_gene
FBgn0000578	ena	protein_coding_gene
FBgn0000579	Eno	protein_coding_gene
FBgn0000581	E(Pc)	protein_coding_gene
FBgn0000588	esc	protein_coding_gene
FBgn0000591	E(spl)m8-HLH	protein_coding_gene
FBgn0000592	Est-6	protein_coding_gene
FBgn0000594	Est-P	protein_coding_gene
FBgn0000606	eve	protein_coding_gene
FBgn0000611	exd	protein_coding_gene
FBgn0000615	exu	protein_coding_gene
FBgn0000617	Taf9	protein_coding_gene
FBgn0000618	e(y)2	protein_coding_gene
FBgn0000625	eyg	protein_coding_gene
FBgn0000629	E(z)	protein_coding_gene
FBgn0000633	tei	protein_coding_gene
FBgn0000635	Fas2	protein_coding_gene
FBgn0000636	Fas3	protein_coding_gene
FBgn0000639	Fbp1	protein_coding_gene
FBgn0000640	Fbp2	protein_coding_gene
FBgn0000644	Fcp3C	protein_coding_gene
FBgn0000658	fj	protein_coding_gene
FBgn0000659	fkh	protein_coding_gene
FBgn0000662	fl(2)d	protein_coding_gene
FBgn0000667	Actn	protein_coding_gene
FBgn0000709	fliI	protein_coding_gene
FBgn0000711	flw	protein_coding_gene
FBgn0000715	FMRFa	protein_coding_gene
FBgn0000719	fog	protein_coding_gene
FBgn0000721	for	protein_coding_gene
FBgn0000723	FER	protein_coding_gene
FBgn0000808	gd	protein_coding_gene
FBgn0000810	fs(1)K10	protein_coding_gene
FBgn0000826	png	protein_coding_gene
FBgn0000927	fs(1)Ya	protein_coding_gene
FBgn0000928	fs(1)Yb	protein_coding_gene
FBgn0000964	tj	protein_coding_gene
FBgn0000996	dup	protein_coding_gene
FBgn0001075	ft	protein_coding_gene
FBgn0001077	ftz	protein_coding_gene
FBgn0001078	ftz-f1	protein_coding_gene
FBgn0001079	fu	protein_coding_gene
FBgn0001083	fw	protein_coding_gene
FBgn0001084	fy	protein_coding_gene
FBgn0001085	fz	protein_coding_gene
FBgn0001086	fzy	protein_coding_gene
FBgn0001087	g	protein_coding_gene
FBgn0001089	Gal	protein_coding_gene
FBgn0001090	bnb	protein_coding_gene
FBgn0001091	Gapdh1	protein_coding_gene
FBgn0001092	Gapdh2	protein_coding_gene
FBgn0001098	Gdh	protein_coding_gene
FBgn0001099	gdl	protein_coding_gene
FBgn0001104	Galphai	protein_coding_gene
FBgn0001105	Gbeta13F	protein_coding_gene
FBgn0001108	DCTN1-p150	protein_coding_gene
FBgn0001112	Gld	protein_coding_gene
FBgn0001114	Glt	protein_coding_gene
FBgn0001120	gnu	protein_coding_gene
FBgn0001122	Galphao	protein_coding_gene
FBgn0001123	Galphas	protein_coding_gene
FBgn0001124	Got1	protein_coding_gene
FBgn0001125	Got2	protein_coding_gene
FBgn0001128	Gpdh1	protein_coding_gene
FBgn0001133	grau	protein_coding_gene
FBgn0001134	Grd	protein_coding_gene
FBgn0001137	grk	protein_coding_gene
FBgn0001138	grn	protein_coding_gene
FBgn0001139	gro	protein_coding_gene
FBgn0001142	Gs1	protein_coding_gene
FBgn0001145	Gs2	protein_coding_gene
FBgn0001147	gsb-n	protein_coding_gene
FBgn0001148	gsb	protein_coding_gene
FBgn0001149	GstD1	protein_coding_gene
FBgn0001150	gt	protein_coding_gene
FBgn0001168	h	protein_coding_gene
FBgn0001169	H	protein_coding_gene
FBgn0001170	H2.0	protein_coding_gene
FBgn0001174	halo	protein_coding_gene
FBgn0001179	hay	protein_coding_gene
FBgn0001180	hb	protein_coding_gene
FBgn0001185	her	protein_coding_gene
FBgn0001186	Hex-A	protein_coding_gene
FBgn0001187	Hex-C	protein_coding_gene
FBgn0001189	hfw	protein_coding_gene
FBgn0001197	His2Av	protein_coding_gene
FBgn0001202	hook	protein_coding_gene
FBgn0001206	Hmr	protein_coding_gene
FBgn0001208	Hn	protein_coding_gene
FBgn0001215	Hrb98DE	protein_coding_gene
FBgn0001216	Hsc70-1	protein_coding_gene
FBgn0001217	Hsc70-2	protein_coding_gene
FBgn0001218	Hsc70-3	protein_coding_gene
FBgn0001220	Hsc70-5	protein_coding_gene
FBgn0001222	Hsf	protein_coding_gene
FBgn0001223	Hsp22	protein_coding_gene
FBgn0001224	Hsp23	protein_coding_gene
FBgn0001225	Hsp26	protein_coding_gene
FBgn0001226	Hsp27	protein_coding_gene
FBgn0001227	Hsp67Ba	protein_coding_gene
FBgn0001228	CG4456	protein_coding_gene
FBgn0001229	Hsp67Bc	protein_coding_gene
FBgn0001230	Hsp68	protein_coding_gene
FBgn0001233	Hsp83	protein_coding_gene
FBgn0001234	lncRNA:Hsromega	lncRNA_gene
FBgn0001235	hth	protein_coding_gene
FBgn0001247	Ide	protein_coding_gene
FBgn0001248	Idh	protein_coding_gene
FBgn0001250	if	protein_coding_gene
FBgn0001253	ImpE1	protein_coding_gene
FBgn0001254	ImpE2	protein_coding_gene
FBgn0001255	ImpE3	protein_coding_gene
FBgn0001256	ImpL1	protein_coding_gene
FBgn0001257	ImpL2	protein_coding_gene
FBgn0001258	Ldh	protein_coding_gene
FBgn0001259	in	protein_coding_gene
FBgn0001263	inaD	protein_coding_gene
FBgn0001269	inv	protein_coding_gene
FBgn0001276	ix	protein_coding_gene
FBgn0001280	janA	protein_coding_gene
FBgn0001281	janB	protein_coding_gene
FBgn0001285	Jon44E	protein_coding_gene
FBgn0001291	Jra	protein_coding_gene
FBgn0001296	kar	protein_coding_gene
FBgn0001297	kay	protein_coding_gene
FBgn0001301	kel	protein_coding_gene
FBgn0001308	Khc	protein_coding_gene
FBgn0001311	kkv	protein_coding_gene
FBgn0001313	kl-2	protein_coding_gene
FBgn0001316	klar	protein_coding_gene
FBgn0001319	kn	protein_coding_gene
FBgn0001320	kni	protein_coding_gene
FBgn0001321	knk	protein_coding_gene
FBgn0001323	knrl	protein_coding_gene
FBgn0001324	kto	protein_coding_gene
FBgn0001325	Kr	protein_coding_gene
FBgn0001330	kz	protein_coding_gene
FBgn0001341	Mybbp1A	protein_coding_gene
FBgn0001404	egh	protein_coding_gene
FBgn0001491	l(1)10Bb	protein_coding_gene
FBgn0001565	Ddx56	protein_coding_gene
FBgn0001612	Grip91	protein_coding_gene
FBgn0001624	dlg1	protein_coding_gene
FBgn0001941	ifc	protein_coding_gene
FBgn0001942	eIF4A	protein_coding_gene
FBgn0001961	Arpc1	protein_coding_gene
FBgn0001965	Sos	protein_coding_gene
FBgn0001967	NimC3	protein_coding_gene
FBgn0001970	Pgant35A	protein_coding_gene
FBgn0001977	CIAPIN1	protein_coding_gene
FBgn0001978	stc	protein_coding_gene
FBgn0001983	wor	protein_coding_gene
FBgn0001986	Mtr4	protein_coding_gene
FBgn0001987	Gli	protein_coding_gene
FBgn0001989	ND-B17	protein_coding_gene
FBgn0001990	wek	protein_coding_gene
FBgn0001991	Ca-alpha1D	protein_coding_gene
FBgn0001992	Cyp303a1	protein_coding_gene
FBgn0001994	crp	protein_coding_gene
FBgn0001995	mRpL4	protein_coding_gene
FBgn0002021	l(2)37Bb	protein_coding_gene
FBgn0002022	Catsup	protein_coding_gene
FBgn0002023	Lim3	protein_coding_gene
FBgn0002031	Phb1	protein_coding_gene
FBgn0002036	CG10561	protein_coding_gene
FBgn0002044	swm	protein_coding_gene
FBgn0002069	AspRS	protein_coding_gene
FBgn0002121	l(2)gl	protein_coding_gene
FBgn0002174	CG5504	protein_coding_gene
FBgn0002183	dre4	protein_coding_gene
FBgn0002283	l(3)73Ah	protein_coding_gene
FBgn0002284	Prosbeta6	protein_coding_gene
FBgn0002306	sas	protein_coding_gene
FBgn0002354	l(3)87Df	protein_coding_gene
FBgn0002413	dco	protein_coding_gene
FBgn0002431	hyd	protein_coding_gene
FBgn0002440	l(3)mbn	protein_coding_gene
FBgn0002441	l(3)mbt	protein_coding_gene
FBgn0002466	sti	protein_coding_gene
FBgn0002521	pho	protein_coding_gene
FBgn0002522	lab	protein_coding_gene
FBgn0002524	lace	protein_coding_gene
FBgn0002525	Lam	protein_coding_gene
FBgn0002526	LanA	protein_coding_gene
FBgn0002531	Lcp1	protein_coding_gene
FBgn0002533	Lcp2	protein_coding_gene
FBgn0002534	Lcp3	protein_coding_gene
FBgn0002535	Lcp4	protein_coding_gene
FBgn0002542	lds	protein_coding_gene
FBgn0002543	robo2	protein_coding_gene
FBgn0002552	lin	protein_coding_gene
FBgn0002561	l(1)sc	protein_coding_gene
FBgn0002562	Lsp1alpha	protein_coding_gene
FBgn0002563	Lsp1beta	protein_coding_gene
FBgn0002564	Lsp1gamma	protein_coding_gene
FBgn0002565	Lsp2	protein_coding_gene
FBgn0002566	lt	protein_coding_gene
